
--------------------------------------------------------------------------------
WORKER run_id=10 method=thrifty_dagger kind=thrifty
--------------------------------------------------------------------------------

--------------------------------------------------------------------------------
THRIFTY_DAGGER ROUND 1  (remaining budget = 15)
--------------------------------------------------------------------------------
[14:41:25] [iil-baseline] round 1: pool=20 successes=10 failures=10 correction_sr=0.500
[14:41:26] [iil-baseline] round 1: picked=1 saved=1 cum_extras=1/15
[14:41:26] [uncertainty] member 0: $ /home/s226137394/.conda/envs/maze/bin/python3 -u -m Equivariant_pathway.equivariant_CNN_hybrid.baseline_vs_p4.pool_x_selector.trainer.finetune_replay --demo_dir /weka/s226137394/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/baseline_vs_p4/pool_x_selector/results/run_10/thrifty_dagger/demos --checkpoint_dir /weka/s226137394/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/baseline_vs_p4/pool_x_selector/results/run_10/thrifty_dagger/checkpoints/member_0 --epochs 90 --batch_size 64 --lr 5e-05 --weight_decay 0.0001 --replay_mix 0.5 --replay_mix_floor 0.2 --seed 10 --resume --new_demos_dir /weka/s226137394/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/baseline_vs_p4/pool_x_selector/results/run_10/thrifty_dagger/demos/round_001
[finetune_replay] device=cuda demo_dir=/weka/s226137394/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/baseline_vs_p4/pool_x_selector/results/run_10/thrifty_dagger/demos new_demos_dir=/weka/s226137394/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/baseline_vs_p4/pool_x_selector/results/run_10/thrifty_dagger/demos/round_001
[hybrid-dataset] 20 demos -> 103 samples
[hybrid-dataset] 1 demos -> 7 samples
[finetune_replay] sampler audit: {'n_old_samples': 103, 'n_new_samples': 7, 'replay_mix_target': 0.5, 'replay_mix_effective': 0.5, 'replay_mix_floor': 0.2}
[finetune_replay] trainable params: 1,400,028
[finetune_replay] WARM START from last_hybrid_policy.pth
[finetune_replay] ep   1/90 | train loss=0.6797 top1=0.899 | val loss=0.1623 | t=1.0s  *
[finetune_replay] ep   2/90 | train loss=0.1897 top1=0.949 | val loss=0.2219 | t=0.2s
[finetune_replay] ep   3/90 | train loss=0.1401 top1=1.000 | val loss=0.1325 | t=0.2s  *
[finetune_replay] ep   4/90 | train loss=0.0697 top1=1.000 | val loss=0.0534 | t=0.2s  *
[finetune_replay] ep   5/90 | train loss=0.1009 top1=1.000 | val loss=0.0729 | t=0.1s
[finetune_replay] ep   6/90 | train loss=0.0354 top1=1.000 | val loss=0.1317 | t=0.2s
[finetune_replay] ep   7/90 | train loss=0.0347 top1=1.000 | val loss=0.1312 | t=0.2s
[finetune_replay] ep   8/90 | train loss=0.0175 top1=1.000 | val loss=0.1165 | t=0.3s
[finetune_replay] ep   9/90 | train loss=0.0154 top1=1.000 | val loss=0.1123 | t=0.2s
[finetune_replay] ep  10/90 | train loss=0.0153 top1=1.000 | val loss=0.1079 | t=0.2s
[finetune_replay] ep  11/90 | train loss=0.0106 top1=1.000 | val loss=0.1047 | t=0.2s
[finetune_replay] ep  12/90 | train loss=0.0083 top1=1.000 | val loss=0.1057 | t=0.1s
[finetune_replay] ep  13/90 | train loss=0.0086 top1=1.000 | val loss=0.1107 | t=0.1s
[finetune_replay] ep  14/90 | train loss=0.0063 top1=1.000 | val loss=0.1125 | t=0.1s
[finetune_replay] ep  15/90 | train loss=0.0061 top1=1.000 | val loss=0.1166 | t=0.1s
[finetune_replay] ep  16/90 | train loss=0.0053 top1=1.000 | val loss=0.1181 | t=0.1s
[finetune_replay] ep  17/90 | train loss=0.0042 top1=1.000 | val loss=0.1171 | t=0.1s
[finetune_replay] ep  18/90 | train loss=0.0039 top1=1.000 | val loss=0.1187 | t=0.1s
[finetune_replay] ep  19/90 | train loss=0.0051 top1=1.000 | val loss=0.1205 | t=0.2s
[finetune_replay] ep  20/90 | train loss=0.0030 top1=1.000 | val loss=0.1220 | t=0.1s
[finetune_replay] ep  21/90 | train loss=0.0029 top1=1.000 | val loss=0.1221 | t=0.1s
[finetune_replay] ep  22/90 | train loss=0.0028 top1=1.000 | val loss=0.1187 | t=0.1s
[finetune_replay] ep  23/90 | train loss=0.0031 top1=1.000 | val loss=0.1151 | t=0.1s
[finetune_replay] ep  24/90 | train loss=0.0028 top1=1.000 | val loss=0.1084 | t=0.1s
[finetune_replay] ep  25/90 | train loss=0.0022 top1=1.000 | val loss=0.1088 | t=0.1s
[finetune_replay] ep  26/90 | train loss=0.0022 top1=1.000 | val loss=0.1146 | t=0.1s
[finetune_replay] ep  27/90 | train loss=0.0025 top1=1.000 | val loss=0.1178 | t=0.1s
[finetune_replay] ep  28/90 | train loss=0.0023 top1=1.000 | val loss=0.1210 | t=0.1s
[finetune_replay] ep  29/90 | train loss=0.0021 top1=1.000 | val loss=0.1196 | t=0.1s
[finetune_replay] ep  30/90 | train loss=0.0022 top1=1.000 | val loss=0.1148 | t=0.1s
[finetune_replay] ep  31/90 | train loss=0.0017 top1=1.000 | val loss=0.1111 | t=0.1s
[finetune_replay] ep  32/90 | train loss=0.0021 top1=1.000 | val loss=0.1123 | t=0.1s
[finetune_replay] ep  33/90 | train loss=0.0015 top1=1.000 | val loss=0.1142 | t=0.1s
