
--------------------------------------------------------------------------------
WORKER run_id=8 method=thrifty_dagger kind=thrifty
--------------------------------------------------------------------------------

--------------------------------------------------------------------------------
THRIFTY_DAGGER ROUND 1  (remaining budget = 15)
--------------------------------------------------------------------------------
[14:41:26] [iil-baseline] round 1: pool=20 successes=6 failures=14 correction_sr=0.300
[14:41:26] [iil-baseline] round 1: picked=1 saved=1 cum_extras=1/15
[14:41:26] [uncertainty] member 0: $ /home/s226137394/.conda/envs/maze/bin/python3 -u -m Equivariant_pathway.equivariant_CNN_hybrid.baseline_vs_p4.pool_x_selector.trainer.finetune_replay --demo_dir /weka/s226137394/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/baseline_vs_p4/pool_x_selector/results/run_8/thrifty_dagger/demos --checkpoint_dir /weka/s226137394/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/baseline_vs_p4/pool_x_selector/results/run_8/thrifty_dagger/checkpoints/member_0 --epochs 90 --batch_size 64 --lr 5e-05 --weight_decay 0.0001 --replay_mix 0.5 --replay_mix_floor 0.2 --seed 8 --resume --new_demos_dir /weka/s226137394/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/baseline_vs_p4/pool_x_selector/results/run_8/thrifty_dagger/demos/round_001
[finetune_replay] device=cuda demo_dir=/weka/s226137394/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/baseline_vs_p4/pool_x_selector/results/run_8/thrifty_dagger/demos new_demos_dir=/weka/s226137394/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/baseline_vs_p4/pool_x_selector/results/run_8/thrifty_dagger/demos/round_001
[hybrid-dataset] 20 demos -> 103 samples
[hybrid-dataset] 1 demos -> 6 samples
[finetune_replay] sampler audit: {'n_old_samples': 103, 'n_new_samples': 6, 'replay_mix_target': 0.5, 'replay_mix_effective': 0.5, 'replay_mix_floor': 0.2}
[finetune_replay] trainable params: 1,400,028
[finetune_replay] WARM START from last_hybrid_policy.pth
[finetune_replay] ep   1/90 | train loss=0.4624 top1=0.879 | val loss=0.1125 | t=0.9s  *
[finetune_replay] ep   2/90 | train loss=0.0775 top1=0.939 | val loss=0.0134 | t=0.2s  *
[finetune_replay] ep   3/90 | train loss=0.2836 top1=0.889 | val loss=0.0062 | t=0.1s  *
[finetune_replay] ep   4/90 | train loss=0.1023 top1=0.960 | val loss=0.0369 | t=0.2s
[finetune_replay] ep   5/90 | train loss=0.0411 top1=1.000 | val loss=0.1356 | t=0.1s
[finetune_replay] ep   6/90 | train loss=0.0881 top1=1.000 | val loss=0.0706 | t=0.1s
[finetune_replay] ep   7/90 | train loss=0.0181 top1=1.000 | val loss=0.0171 | t=0.1s
[finetune_replay] ep   8/90 | train loss=0.0164 top1=1.000 | val loss=0.0073 | t=0.2s
[finetune_replay] ep   9/90 | train loss=0.0191 top1=1.000 | val loss=0.0099 | t=0.1s
[finetune_replay] ep  10/90 | train loss=0.0098 top1=1.000 | val loss=0.0479 | t=0.1s
[finetune_replay] ep  11/90 | train loss=0.0109 top1=1.000 | val loss=0.0536 | t=0.1s
[finetune_replay] ep  12/90 | train loss=0.0067 top1=1.000 | val loss=0.0202 | t=0.1s
[finetune_replay] ep  13/90 | train loss=0.0051 top1=1.000 | val loss=0.0085 | t=0.1s
[finetune_replay] ep  14/90 | train loss=0.0054 top1=1.000 | val loss=0.0085 | t=0.1s
[finetune_replay] ep  15/90 | train loss=0.0031 top1=1.000 | val loss=0.0153 | t=0.2s
[finetune_replay] ep  16/90 | train loss=0.0034 top1=1.000 | val loss=0.0192 | t=0.2s
[finetune_replay] ep  17/90 | train loss=0.0039 top1=1.000 | val loss=0.0135 | t=0.1s
[finetune_replay] ep  18/90 | train loss=0.0017 top1=1.000 | val loss=0.0105 | t=0.1s
[finetune_replay] ep  19/90 | train loss=0.0027 top1=1.000 | val loss=0.0076 | t=0.1s
[finetune_replay] ep  20/90 | train loss=0.0024 top1=1.000 | val loss=0.0069 | t=0.1s
[finetune_replay] ep  21/90 | train loss=0.0028 top1=1.000 | val loss=0.0072 | t=0.1s
