
--------------------------------------------------------------------------------
WORKER run_id=4 method=thrifty_dagger kind=thrifty
--------------------------------------------------------------------------------

--------------------------------------------------------------------------------
THRIFTY_DAGGER ROUND 1  (remaining budget = 15)
--------------------------------------------------------------------------------
[12:59:14] [iil-baseline] round 1: pool=20 successes=7 failures=13 correction_sr=0.350
[12:59:14] [iil-baseline] round 1: picked=1 saved=1 cum_extras=1/15
[12:59:14] [uncertainty] member 0: $ /home/s226137394/.conda/envs/maze/bin/python3 -u -m Equivariant_pathway.equivariant_CNN_hybrid.baseline_vs_p4.pool_x_selector.trainer.finetune_replay --demo_dir /weka/s226137394/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/baseline_vs_p4/pool_x_selector/results/run_4/thrifty_dagger/demos --checkpoint_dir /weka/s226137394/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/baseline_vs_p4/pool_x_selector/results/run_4/thrifty_dagger/checkpoints/member_0 --epochs 90 --batch_size 64 --lr 5e-05 --weight_decay 0.0001 --replay_mix 0.5 --replay_mix_floor 0.2 --seed 4 --resume --new_demos_dir /weka/s226137394/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/baseline_vs_p4/pool_x_selector/results/run_4/thrifty_dagger/demos/round_001
[finetune_replay] device=cuda demo_dir=/weka/s226137394/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/baseline_vs_p4/pool_x_selector/results/run_4/thrifty_dagger/demos new_demos_dir=/weka/s226137394/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/baseline_vs_p4/pool_x_selector/results/run_4/thrifty_dagger/demos/round_001
[hybrid-dataset] 20 demos -> 103 samples
[hybrid-dataset] 1 demos -> 4 samples
[finetune_replay] sampler audit: {'n_old_samples': 103, 'n_new_samples': 4, 'replay_mix_target': 0.5, 'replay_mix_effective': 0.5, 'replay_mix_floor': 0.2}
[finetune_replay] trainable params: 1,400,028
[finetune_replay] WARM START from last_hybrid_policy.pth
[finetune_replay] ep   1/90 | train loss=0.6583 top1=0.804 | val loss=0.1498 | t=1.6s  *
[finetune_replay] ep   2/90 | train loss=0.2017 top1=0.979 | val loss=0.0382 | t=0.2s  *
[finetune_replay] ep   3/90 | train loss=0.0651 top1=1.000 | val loss=0.0366 | t=0.2s  *
[finetune_replay] ep   4/90 | train loss=0.0305 top1=1.000 | val loss=0.0621 | t=0.1s
[finetune_replay] ep   5/90 | train loss=0.0209 top1=1.000 | val loss=0.0585 | t=0.2s
[finetune_replay] ep   6/90 | train loss=0.0178 top1=1.000 | val loss=0.0546 | t=0.1s
[finetune_replay] ep   7/90 | train loss=0.0136 top1=1.000 | val loss=0.0505 | t=0.1s
[finetune_replay] ep   8/90 | train loss=0.0103 top1=1.000 | val loss=0.0452 | t=0.1s
[finetune_replay] ep   9/90 | train loss=0.0063 top1=1.000 | val loss=0.0429 | t=0.1s
[finetune_replay] ep  10/90 | train loss=0.0063 top1=1.000 | val loss=0.0382 | t=0.1s
[finetune_replay] ep  11/90 | train loss=0.0044 top1=1.000 | val loss=0.0349 | t=0.1s  *
[finetune_replay] ep  12/90 | train loss=0.0043 top1=1.000 | val loss=0.0315 | t=0.1s  *
[finetune_replay] ep  13/90 | train loss=0.0058 top1=1.000 | val loss=0.0229 | t=0.1s  *
[finetune_replay] ep  14/90 | train loss=0.0032 top1=1.000 | val loss=0.0201 | t=0.1s  *
[finetune_replay] ep  15/90 | train loss=0.0035 top1=1.000 | val loss=0.0202 | t=0.1s
[finetune_replay] ep  16/90 | train loss=0.0032 top1=1.000 | val loss=0.0210 | t=0.1s
[finetune_replay] ep  17/90 | train loss=0.0022 top1=1.000 | val loss=0.0218 | t=0.1s
[finetune_replay] ep  18/90 | train loss=0.0030 top1=1.000 | val loss=0.0220 | t=0.1s
[finetune_replay] ep  19/90 | train loss=0.0024 top1=1.000 | val loss=0.0217 | t=0.1s
[finetune_replay] ep  20/90 | train loss=0.0025 top1=1.000 | val loss=0.0214 | t=0.1s
[finetune_replay] ep  21/90 | train loss=0.0018 top1=1.000 | val loss=0.0207 | t=0.1s
