
--------------------------------------------------------------------------------
WORKER run_id=7 method=thrifty_dagger kind=thrifty
--------------------------------------------------------------------------------

--------------------------------------------------------------------------------
THRIFTY_DAGGER ROUND 1  (remaining budget = 15)
--------------------------------------------------------------------------------
[14:39:38] [iil-baseline] round 1: pool=20 successes=12 failures=8 correction_sr=0.600
[14:39:38] [iil-baseline] round 1: picked=1 saved=1 cum_extras=1/15
[14:39:38] [uncertainty] member 0: $ /home/s226137394/.conda/envs/maze/bin/python3 -u -m Equivariant_pathway.equivariant_CNN_hybrid.baseline_vs_p4.pool_x_selector.trainer.finetune_replay --demo_dir /weka/s226137394/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/baseline_vs_p4/pool_x_selector/results/run_7/thrifty_dagger/demos --checkpoint_dir /weka/s226137394/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/baseline_vs_p4/pool_x_selector/results/run_7/thrifty_dagger/checkpoints/member_0 --epochs 90 --batch_size 64 --lr 5e-05 --weight_decay 0.0001 --replay_mix 0.5 --replay_mix_floor 0.2 --seed 7 --resume --new_demos_dir /weka/s226137394/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/baseline_vs_p4/pool_x_selector/results/run_7/thrifty_dagger/demos/round_001
[finetune_replay] device=cuda demo_dir=/weka/s226137394/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/baseline_vs_p4/pool_x_selector/results/run_7/thrifty_dagger/demos new_demos_dir=/weka/s226137394/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/baseline_vs_p4/pool_x_selector/results/run_7/thrifty_dagger/demos/round_001
[hybrid-dataset] 20 demos -> 103 samples
[hybrid-dataset] 1 demos -> 4 samples
[finetune_replay] sampler audit: {'n_old_samples': 103, 'n_new_samples': 4, 'replay_mix_target': 0.5, 'replay_mix_effective': 0.5, 'replay_mix_floor': 0.2}
[finetune_replay] trainable params: 1,400,028
[finetune_replay] WARM START from last_hybrid_policy.pth
[finetune_replay] ep   1/90 | train loss=0.5545 top1=0.918 | val loss=0.0330 | t=1.1s  *
[finetune_replay] ep   2/90 | train loss=0.0493 top1=1.000 | val loss=0.0286 | t=0.1s  *
[finetune_replay] ep   3/90 | train loss=0.0200 top1=1.000 | val loss=0.0204 | t=0.1s  *
[finetune_replay] ep   4/90 | train loss=0.0229 top1=1.000 | val loss=0.0185 | t=0.1s  *
[finetune_replay] ep   5/90 | train loss=0.0129 top1=1.000 | val loss=0.0141 | t=0.2s  *
[finetune_replay] ep   6/90 | train loss=0.0059 top1=1.000 | val loss=0.0109 | t=0.2s  *
[finetune_replay] ep   7/90 | train loss=0.0055 top1=1.000 | val loss=0.0129 | t=0.1s
[finetune_replay] ep   8/90 | train loss=0.0041 top1=1.000 | val loss=0.0157 | t=0.2s
[finetune_replay] ep   9/90 | train loss=0.0100 top1=1.000 | val loss=0.0175 | t=0.2s
[finetune_replay] ep  10/90 | train loss=0.0062 top1=1.000 | val loss=0.0218 | t=0.1s
[finetune_replay] ep  11/90 | train loss=0.0043 top1=1.000 | val loss=0.0148 | t=0.1s
[finetune_replay] ep  12/90 | train loss=0.0053 top1=1.000 | val loss=0.0086 | t=0.1s  *
[finetune_replay] ep  13/90 | train loss=0.0029 top1=1.000 | val loss=0.0088 | t=0.1s
[finetune_replay] ep  14/90 | train loss=0.0030 top1=1.000 | val loss=0.0130 | t=0.1s
[finetune_replay] ep  15/90 | train loss=0.0056 top1=1.000 | val loss=0.0175 | t=0.1s
[finetune_replay] ep  16/90 | train loss=0.0030 top1=1.000 | val loss=0.0199 | t=0.1s
[finetune_replay] ep  17/90 | train loss=0.0027 top1=1.000 | val loss=0.0146 | t=0.2s
[finetune_replay] ep  18/90 | train loss=0.0021 top1=1.000 | val loss=0.0104 | t=0.1s
[finetune_replay] ep  19/90 | train loss=0.0020 top1=1.000 | val loss=0.0098 | t=0.1s
[finetune_replay] ep  20/90 | train loss=0.0023 top1=1.000 | val loss=0.0106 | t=0.1s
[finetune_replay] ep  21/90 | train loss=0.0020 top1=1.000 | val loss=0.0135 | t=0.1s
