setting,protocol,n_rounds_diseil,n_rounds_diffdagger,diffdagger_s_per_round,diffdagger_s_sd,diseil_s_per_round,diseil_s_sd,overhead_x,shared_train_eval_s_diseil,shared_train_eval_s_diseil_sd,shared_train_eval_s_diffdagger,shared_train_eval_s_diffdagger_sd,diseil_screening_s,diseil_screening_s_sd,diseil_analysis_prescription_s,diseil_analysis_prescription_s_sd,diseil_specific_s,diseil_specific_s_sd,diffdagger_gate_s,diffdagger_gate_s_sd,reasoning_only_addon_s,reasoning_only_addon_s_sd,vlm_tokens_per_round,vlm_tokens_sd,llm_tokens_per_round,llm_tokens_sd,reasoning_llm_tokens_per_round,reasoning_llm_tokens_sd,kag_token_contribution_per_round,kag_token_contribution_sd,diffdagger_vlm_tokens,diffdagger_llm_tokens,diffdagger_reasoning_tokens,diffdagger_kag_tokens,baseline_arm_dir,diseil_dir,baseline_source,baseline_status,diseil_status
Door/state,P1,1,1,734.0,,1054.4,,1.4365122615803816,783.0,,721.0,,205.0,,66.0,,271.0,,13.0,,258.0,,3258.0,,8253.0,,3486.0,,3195.0,,0,0,0,0,distil/results/_compute/Door/state/diffdagger/seed1,distil/results/_compute/Door/state/full/seed1,diffdagger (BUDGET=5),COMPLETE,COMPLETE
Door/state,P5,5,5,668.8,58.5123918499321,783.02,183.70431949194884,1.1707834928229666,547.8,146.48788345798434,560.2,129.77557551403885,158.6,41.113258202190686,76.2,9.78263768111648,234.8,43.73442579936314,108.6,91.83027823109325,126.2,124.44958818734597,3285.0,22.304708023195463,7644.0,573.3218991107875,2711.6,629.5508716537529,3195.0,0.0,0,0,0,0,distil/results/_compute/Door/state/diffdagger_b20/seed1,distil/results/_compute/Door/state/full/seed1,"diffdagger (BUDGET=20, 5 rounds)",COMPLETE,COMPLETE
Door/image,P1,1,1,1065.0,,1474.9,,1.3848826291079812,1180.0,,1052.0,,201.0,,93.0,,294.0,,13.0,,281.0,,3293.0,,8086.0,,3004.0,,3195.0,,0,0,0,0,distil/results/_compute/Door/image/diffdagger/seed1,distil/results/_compute/Door/image/full/seed1,diffdagger (BUDGET=5),COMPLETE,COMPLETE
Door/image,P5,5,5,1094.8,68.76190805962266,1169.34,194.754032050687,1.0680854950675922,901.6,169.64462856217995,1010.2,95.9333101690961,181.0,25.777897509300484,86.2,14.184498581197715,267.2,37.22499160510315,84.6,34.911316216951775,182.6,35.24627639907512,3292.4,9.289779329994873,7495.2,838.3207619998445,2561.2,916.9158630975909,3195.0,0.0,0,0,0,0,distil/results/_compute/Door/image/diffdagger_b20/seed1,distil/results/_compute/Door/image/full/seed1,"diffdagger (BUDGET=20, 5 rounds)",COMPLETE,COMPLETE
Wipe/image,P1,1,1,1652.0,,2194.7,,1.328510895883777,1491.0,,1475.0,,431.0,,273.0,,704.0,,177.0,,527.0,,3228.0,,6332.0,,2303.0,,2392.0,,0,0,0,0,distil/results/_compute/Wipe/image/diffdagger/seed1,distil/results/_compute/Wipe/image/full/seed1,diffdagger (BUDGET=5),COMPLETE,COMPLETE
Wipe/image,P5,5,2,1551.5,142.12846301849606,2011.78,173.3423548934304,1.296667740895907,1302.6,105.67071495925444,1375.0,141.4213562373095,414.8,20.0049993751562,294.4,158.9348923301614,709.2,141.4909891123813,176.5,0.7071067811865476,503.0,33.94112549695428,3246.8,13.330416347586446,7550.6,1632.378418137167,3657.2,1714.9411651715636,2392.0,0.0,0,0,0,0,distil/results/_compute/Wipe/image/diffdagger/seed1,distil/results/_compute/Wipe/image/full/seed1,diffdagger (BUDGET=5 FALLBACK — only 2 rounds; the hardware-matched BUDGET=20 run did not schedule),COMPLETE,COMPLETE
